date,open,high,low,close,volume
1993-01-29,25.3369,25.3369,25.2109,25.3189,1003200
1993-02-01,25.3369,25.4990,25.3369,25.4990,480500
1993-02-02,25.4810,25.5711,25.4270,25.5530,201300
1993-02-03,25.5890,25.8411,25.5711,25.8232,529400
1993-02-04,25.9132,25.9852,25.6251,25.9312,531500
1993-02-05,25.9132,25.9672,25.7691,25.9132,492100
1993-02-08,25.9132,26.0032,25.8772,25.9132,596100
1993-02-09,25.8232,25.8232,25.6791,25.7331,122100
1993-02-10,25.7331,25.7872,25.6611,25.7691,379600
1993-02-11,25.8051,26.0032,25.8051,25.8952,19500
1993-02-12,25.8592,25.8592,25.6971,25.6971,42500
1993-02-16,25.6251,25.6251,25.0128,25.0488,374800
1993-02-17,25.0488,25.0848,24.9408,25.0308,210900
1993-02-18,25.3189,25.3189,24.6707,25.0128,378100
1993-02-19,25.0128,25.1029,24.9768,25.1029,34900
1993-02-22,25.1749,25.2289,25.1029,25.1929,513600
1993-02-23,25.2649,25.2829,25.0488,25.1749,373700
1993-02-24,25.1929,25.4990,25.1929,25.4990,26300
1993-02-25,25.4810,25.5711,25.4270,25.5530,44500
1993-02-26,25.6071,25.6071,25.4630,25.5890,66200
1993-03-01,25.6791,25.6791,25.4810,25.5170,66500
1993-03-02,25.5350,25.8952,25.4990,25.8952,182400
1993-03-03,25.9312,26.0212,25.8952,26.0032,280100
1993-03-04,26.0393,26.0393,25.8592,25.8592,89500
1993-03-05,25.8952,26.0032,25.7691,25.7872,40000
1993-03-08,25.8411,26.3634,25.8411,26.3634,50800
1993-03-09,26.3093,26.3274,26.2193,26.2733,169300
1993-03-10,26.2733,26.3274,26.1653,26.3274,194400
1993-03-11,26.3454,26.4174,26.2193,26.2554,70900
1993-03-12,26.0393,26.0572,25.8232,25.9852,643600
1993-03-15,25.9672,26.1113,25.9672,26.1113,310800
1993-03-16,26.1113,26.1833,26.1113,26.1113,30800
1993-03-17,26.0753,26.0753,25.9132,25.9492,21800
1993-03-18,26.0572,26.2193,26.0572,26.1113,59300
1993-03-19,26.2167,26.2167,26.0719,26.0719,66900
1993-03-22,25.8186,25.9815,25.8006,25.9272,183400
1993-03-23,25.9996,26.0177,25.9453,25.9815,55200
