Date,"1 Mo","2 Mo","3 Mo","4 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
10/21/2022,3.55,3.78,4.09,4.31,4.43,4.58,4.49,4.52,4.34,4.28,4.21,4.54,4.33
10/20/2022,3.58,3.83,4.09,4.33,4.48,4.66,4.62,4.66,4.45,4.36,4.24,4.47,4.24
10/19/2022,3.31,3.72,4.07,4.32,4.45,4.60,4.55,4.56,4.35,4.26,4.14,4.38,4.15
10/18/2022,3.25,3.70,4.04,,4.39,4.50,4.43,4.43,4.21,4.12,4.01,4.27,4.04
10/17/2022,3.30,3.66,3.97,,4.38,4.50,4.45,4.45,4.24,4.15,4.02,4.29,4.04
10/14/2022,3.30,3.61,3.81,,4.31,4.50,4.48,4.47,4.25,4.15,4.00,4.26,3.99
10/13/2022,3.35,3.60,3.79,,4.30,4.46,4.47,4.44,4.21,4.11,3.97,4.25,3.97
10/12/2022,3.07,3.45,3.70,,4.16,4.28,4.28,4.29,4.12,4.03,3.91,4.18,3.90
10/11/2022,3.07,3.43,3.67,,4.17,4.28,4.30,4.31,4.14,4.06,3.93,4.19,3.92
10/07/2022,3.03,3.34,3.45,,4.09,4.24,4.30,4.33,4.14,4.03,3.89,4.13,3.86
10/06/2022,3.05,3.34,3.46,,4.04,4.19,4.23,4.24,4.05,3.95,3.83,4.08,3.81
10/05/2022,2.89,3.22,3.46,,4.00,4.14,4.15,4.17,3.96,3.87,3.76,4.05,3.78
10/04/2022,2.91,3.23,3.45,,3.98,4.15,4.10,4.08,3.84,3.73,3.62,3.95,3.70
10/03/2022,2.87,3.26,3.46,,3.97,4.01,4.12,4.12,3.90,3.79,3.67,4.00,3.73
