Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	HALF1	HALF2
1913	 	0.0	0.0	0.0	-1.0	1.0	1.0	0.0	1.0	0.0	1.0	-1.0	 	 
1914	0.0	-1.0	0.0	-1.0	1.0	0.0	1.0	2.0	0.0	-1.0	1.0	-1.0	 	 
1915	0.0	-1.0	-1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	 	 
1916	1.0	0.0	1.0	1.0	0.9	0.9	0.0	0.9	1.8	1.8	1.8	0.9	 	 
1917	0.9	2.6	0.0	5.0	1.6	1.6	-1.5	1.6	2.3	1.5	0.0	1.5	 	 
1918	2.2	0.7	-0.7	1.4	2.1	1.4	2.7	2.0	1.9	1.9	1.9	1.2	 	 
1919	0.0	-1.8	1.2	1.8	1.2	0.0	3.0	1.7	0.6	1.7	2.2	2.2	 	 
1920	2.1	1.0	1.0	3.0	1.5	1.5	-0.5	-2.4	-1.5	-0.5	-0.5	-2.0	 	 
1921	-2.1	-3.2	-0.5	-1.1	-2.2	-0.6	0.6	0.0	-1.1	0.0	-0.6	-0.6	 	 
1922	-2.3	0.0	-1.2	0.0	0.0	0.0	0.6	-1.2	0.0	0.6	0.6	0.6	 	 
1923	-0.6	0.0	0.0	0.6	0.0	0.6	1.2	-0.6	0.6	0.6	0.0	0.0	 	 
1924	0.0	-0.6	-0.6	-0.6	0.0	0.0	0.6	-0.6	0.6	0.6	0.0	0.6	 	 
1925	0.0	-0.6	0.6	-0.6	0.6	1.2	1.1	0.0	0.0	0.0	1.7	-0.6	 	 
1926	0.0	0.0	-0.6	0.6	-0.6	-0.6	-1.1	-0.6	0.6	0.6	0.6	0.0	 	 
1927	-1.1	-0.6	-0.6	0.0	0.6	1.1	-1.7	-0.6	0.6	0.6	-0.6	0.0	 	 
1928	0.0	-1.2	0.0	0.0	0.6	-0.6	0.0	0.0	1.2	-0.6	0.0	-0.6	 	 
1929	0.0	0.0	-0.6	-0.6	0.6	0.6	1.2	0.0	0.0	0.0	0.0	-0.6	 	 
1930	-0.6	-0.6	-0.6	0.6	-0.6	-0.6	-1.2	-0.6	0.6	-0.6	-0.6	-1.8	 	 
1931	-1.2	-1.3	-0.6	-0.6	-1.3	-1.3	0.0	0.0	-0.7	-0.7	-1.3	-0.7	 	 
1932	-2.1	-1.4	-0.7	-0.7	-1.4	-0.7	0.0	-0.7	-0.7	-0.7	-0.8	-0.8	 	 
1933	-1.5	-1.6	-0.8	0.0	0.0	0.8	3.1	0.8	0.0	0.0	0.0	0.0	 	 
1934	0.0	0.8	0.0	0.0	0.0	0.8	0.0	0.0	1.5	-0.7	0.0	-0.7	 	 
1935	1.5	0.7	0.0	0.7	0.0	-0.7	0.0	0.0	0.0	0.0	0.7	0.0	 	 
1936	0.0	0.0	-0.7	0.0	0.0	0.7	0.7	0.7	0.0	0.0	0.0	0.0	 	 
1937	0.7	0.0	0.7	0.7	0.7	0.0	0.7	0.0	0.7	0.0	-0.7	-0.7	 	 
1938	-1.4	-0.7	0.0	0.7	-0.7	0.0	0.0	0.0	0.0	-0.7	0.0	0.0	 	 
1939	0.0	-0.7	0.0	-0.7	0.0	0.0	0.0	0.0	2.2	-0.7	0.0	0.0	 	 
1940	-0.7	0.7	0.0	0.0	0.0	0.7	-0.7	0.0	0.0	0.0	0.0	0.7	 	 
1941	0.0	0.0	0.7	0.7	0.7	2.1	0.0	1.4	1.3	1.3	0.7	0.6	 	 
1942	1.3	0.6	1.3	0.6	1.2	0.0	0.6	0.6	0.0	1.2	0.6	0.6	 	 
1943	0.0	0.0	1.8	1.2	0.6	0.0	-0.6	-0.6	0.6	0.0	0.0	0.0	 	 
1944	0.0	0.0	0.0	0.6	0.0	0.6	0.6	0.0	0.0	0.0	0.0	0.6	 	 
1945	0.0	0.0	0.0	0.0	0.6	1.1	0.0	0.0	0.0	0.0	0.0	0.6	 	 
1946	0.0	-0.5	1.1	0.5	0.5	1.1	5.9	2.0	1.0	2.0	2.4	0.9	 	 
1947	0.0	0.0	1.9	0.0	0.0	0.5	0.9	1.4	2.2	0.0	0.4	1.3	 	 
1948	1.3	-0.8	-0.4	1.7	0.4	0.8	1.2	0.4	0.0	-0.4	-0.8	-0.4	 	 
1949	-0.4	-0.8	0.0	0.4	-0.4	0.4	-0.8	0.4	0.4	-0.8	0.4	-0.8	 	 
1950	-0.4	0.0	0.4	0.0	0.4	0.4	1.3	0.8	0.4	0.8	0.4	1.2	 	 
1951	1.6	1.2	0.4	0.0	0.4	0.0	0.0	0.0	0.8	0.4	0.8	0.4	 	 
1952	0.0	-0.8	0.0	0.4	0.0	0.4	0.8	0.0	0.0	0.0	0.0	0.0	 	 
1953	-0.4	-0.4	0.4	0.0	0.4	0.4	0.0	0.4	0.0	0.4	-0.4	0.0	 	 
1954	0.0	0.0	0.0	-0.4	0.4	0.0	0.0	0.0	-0.4	0.0	0.0	-0.4	 	 
1955	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.4	0.0	0.0	-0.4	 	 
1956	0.0	0.0	0.0	0.4	0.4	0.7	0.7	-0.4	0.4	0.4	0.0	0.4	 	 
1957	0.0	0.4	0.4	0.4	0.4	0.4	0.7	0.0	0.0	0.0	0.4	0.0	 	 
1958	0.7	0.0	0.7	0.3	0.0	0.0	0.3	-0.3	0.0	0.0	0.3	-0.3	 	 
1959	0.3	-0.3	0.0	0.3	0.0	0.3	0.3	0.0	0.3	0.3	0.0	0.0	 	 
1960	-0.3	0.3	0.0	0.3	0.0	0.3	0.0	0.0	0.0	0.7	0.0	0.0	 	 
1961	0.0	0.0	0.0	0.0	0.0	0.0	0.7	-0.3	0.3	0.0	0.0	0.0	 	 
1962	0.0	0.3	0.0	0.3	0.0	0.0	0.3	0.0	0.3	0.0	0.0	0.0	 	 
1963	0.0	0.0	0.3	0.0	0.0	0.3	0.3	0.0	0.0	0.3	0.0	0.3	 	 
1964	0.0	0.0	0.0	0.0	0.0	0.3	0.3	-0.3	0.3	0.0	0.3	0.0	 	 
