area_code	area_name
0000	U.S. city average
0100	Northeast
0110	New England
0120	Middle Atlantic
0200	Midwest
0230	East North Central
0240	West North Central
0300	South
0350	South Atlantic
0360	East South Central
0370	West South Central
0400	West
0480	Mountain
0490	Pacific
A104	Pittsburgh, PA
A105	Buffalo-Niagara Falls, NY
A106	Scranton, PA
A210	Cleveland-Akron, OH
A212	Milwaukee-Racine, WI
A213	Cincinnati-Hamilton, OH-KY-IN
A214	Kansas City, MO-KS
A311	Washington-Baltimore, DC-MD-VA-WV
A315	Washington, DC-MD-VA
A317	Baltimore, MD
A421	Los Angeles-Riverside-Orange County, CA
A425	Portland-Salem, OR-WA
B000	City size B
B100	Northeast size B
B200	North Central size B
B300	South size B
B400	West size B
C000	City size C
C100	Northeast size C
C200	North Central size C
C300	South size C
C400	West size C
D000	Size Class D
D100	Northeast - Size Class D
D200	Midwest - Size Class D
D300	South - Size Class D
D400	West - Size Class D
N000	Size Class B/C
N100	Northeast - Size Class B/C
N200	Midwest - Size Class B/C
N300	South - Size Class B/C
N400	West - Size Class B/C
S000	Size Class A
S100	Northeast - Size Class A
S11A	Boston-Cambridge-Newton, MA-NH
S12A	New York-Newark-Jersey City, NY-NJ-PA
S12B	Philadelphia-Camden-Wilmington, PA-NJ-DE-MD
S200	Midwest - Size Class A
S23A	Chicago-Naperville-Elgin, IL-IN-WI
S23B	Detroit-Warren-Dearborn, MI
S24A	Minneapolis-St.Paul-Bloomington, MN-WI
S24B	St. Louis, MO-IL
S300	South - Size Class A
S35A	Washington-Arlington-Alexandria, DC-VA-MD-WV
S35B	Miami-Fort Lauderdale-West Palm Beach, FL
S35C	Atlanta-Sandy Springs-Roswell, GA
S35D	Tampa-St. Petersburg-Clearwater, FL
S35E	Baltimore-Columbia-Towson, MD
S37A	Dallas-Fort Worth-Arlington, TX
S37B	Houston-The Woodlands-Sugar Land, TX
S400	West - Size Class A
S48A	Phoenix-Mesa-Scottsdale, AZ
S48B	Denver-Aurora-Lakewood, CO
S49A	Los Angeles-Long Beach-Anaheim, CA
S49B	San Francisco-Oakland-Hayward, CA
S49C	Riverside-San Bernardino-Ontario, CA
S49D	Seattle-Tacoma-Bellevue WA
S49E	San Diego-Carlsbad, CA
S49F	Urban Hawaii
S49G	Urban Alaska
