Macrotrends Data Download

VIX Volatility Index - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1990-01-02,17.2400
1990-01-03,18.1900
1990-01-04,19.2200
1990-01-05,20.1100
1990-01-08,20.2600
1990-01-09,22.2000
1990-01-10,22.4400
1990-01-11,20.0500
1990-01-12,24.6400
1990-01-15,26.3400
1990-01-16,24.1800
1990-01-17,24.1600
1990-01-18,24.3400
1990-01-19,22.5000
1990-01-22,26.7000
1990-01-23,24.7200
1990-01-24,25.3900
1990-01-25,25.6300
1990-01-26,26.2800
1990-01-29,26.4400
1990-01-30,27.2500
1990-01-31,25.3600
1990-02-01,24.8700
1990-02-02,24.3200
1990-02-05,24.5400
1990-02-06,24.6900
1990-02-07,24.2900
1990-02-08,23.7700
1990-02-09,23.6900
1990-02-12,24.3800
1990-02-13,23.7600
1990-02-14,22.0500
1990-02-15,19.7100
1990-02-16,20.7800
1990-02-20,22.7800
1990-02-21,23.8900
1990-02-22,22.5400
1990-02-23,23.6900
1990-02-26,23.5600
1990-02-27,22.6900
1990-02-28,21.9900
1990-03-01,21.9000
1990-03-02,21.3400
1990-03-05,22.0300
1990-03-06,20.5500
1990-03-07,19.1000
1990-03-08,19.7400
1990-03-09,20.3000
1990-03-12,20.0700
1990-03-13,21.0500
1990-03-14,19.6500
1990-03-15,18.8100
1990-03-16,17.6200
1990-03-19,18.2900
1990-03-20,19.0600
1990-03-21,20.1000
1990-03-22,22.7400
1990-03-23,20.4600
1990-03-26,19.5900
1990-03-27,21.0100
1990-03-28,19.7700
1990-03-29,18.4600
1990-03-30,19.7300
1990-04-02,22.8400
1990-04-03,20.4400
1990-04-04,22.0300
1990-04-05,21.2100
1990-04-06,21.7600
1990-04-09,22.3000
1990-04-10,21.6900
1990-04-11,17.7300
1990-04-12,19.8000
1990-04-16,20.7500
1990-04-17,20.3800
1990-04-18,22.6700
1990-04-19,22.4600
1990-04-20,23.3300
1990-04-23,24.1600
1990-04-24,21.7000
1990-04-25,20.8600
1990-04-26,20.2500
1990-04-27,22.1900
1990-04-30,19.5200
1990-05-01,18.4300
1990-05-02,19.3200
1990-05-03,17.8100
1990-05-04,17.2800
1990-05-07,17.6500
1990-05-08,18.4900
1990-05-09,18.6400
1990-05-10,18.5900
1990-05-11,19.8100
1990-05-14,20.1400
1990-05-15,19.4900
1990-05-16,17.7100
1990-05-17,17.2700
1990-05-18,17.2000
1990-05-21,16.7200
1990-05-22,17.8400
1990-05-23,17.1800
1990-05-24,17.7000
1990-05-25,17.3200
1990-05-29,18.7500
